id_sch,name,address,dcode,dname,type,tel,fax,url,num_stu,room,teacher,lat,lng
3110010111,โรงเรียนวัดใหม่อมตรส,132 ซอยอมตรส ถนนสามเสน แขวงบ้านพานถม เขตพระนคร กทม 10200,1001,พระนคร  ,โรงเรียนขนาดเล็ก  (จำนวนนักเรียนตั้งแต่ 1-400 คน),0 2281 7670,-,school.bangkok.go.th/watmaiamatarod/,25,8,10,13.78115363,100.4792294
3110013301,โรงเรียนวัดหนองจอก (ภักดีนรเศรษฐ),18 หมู่ 2 ถ.เลียบวารี แขวงกระทุ่มราย เขตหนองจอก,1003,หนองจอก,โรงเรียนขนาดใหญ่  (จำนวนนักเรียนตั้งแต่ 801 คนขึ้นไป),0 2543 1160,-,sites.google.com/site/schoolpakdee/,1908,54,94,13.85712466,100.8603072
3110013302,โรงเรียนสุเหร่าหะยีมินา,หมู่ 4 ถ.สังฆสันติสุข แขวงกระทุ่มราย เขตหนองจอก,1003,หนองจอก,โรงเรียนขนาดกลาง  (จำนวนนักเรียนตั้งแต่ 401-800 คน),0 2543 1161,-,facebook.com/Hayeemina,825,26,39,13.8552929,100.869413
3110013303,โรงเรียนสุเหร่าบ้านเกาะ,14 หมู่ 1 แขวงหนองจอก เขตหนองจอก,1003,หนองจอก,โรงเรียนขนาดเล็ก  (จำนวนนักเรียนตั้งแต่ 1-400 คน),0 2989 9727,0 2989 9727,facebook.com/srbkschool,249,8,12,13.87430959,100.8833949
3110013304,โรงเรียนลำบุหรี่พวง,หมู่ 14 ลำบุหรี่พวง แขวงคลองสิบ เขตหนองจอก,1003,หนองจอก,โรงเรียนขนาดเล็ก  (จำนวนนักเรียนตั้งแต่ 1-400 คน),0 2988 6354,-,facebook.com/lumburipoung,85,8,10,13.88798957,100.8495072
3110023305,โรงเรียนหนองจอกพิทยานุสรณ์,31/1 หมู่ 9 มิตรไมตรี แขวงหนองจอก เขตหนองจอก,1003,หนองจอก,โรงเรียนขนาดใหญ่  (จำนวนนักเรียนตั้งแต่ 801 คนขึ้นไป),0 2543 1166,0 2543 1166 กด 9,http://njpschool.ac.th/,2356,63,110,13.86349761,100.854188
3110013306,โรงเรียนสุเหร่าศาลาแดง,25 หมู่ 5 ถ.ผ่องพันธ์ แขวงหนองจอก เขตหนองจอก,1003,หนองจอก,โรงเรียนขนาดเล็ก  (จำนวนนักเรียนตั้งแต่ 1-400 คน),0 2543 1163,-,facebook.com/โรงเรียนสุเหร่าศาลาแดง-Suraosaladeang-School-152887588201405,202,8,12,13.8503165,100.8971684
3110013307,โรงเรียนสุเหร่าใหม่,6 คลองแสนแสบ แขวงหนองจอก เขตหนองจอก,1003,หนองจอก,โรงเรียนขนาดเล็ก  (จำนวนนักเรียนตั้งแต่ 1-400 คน),0 2543 1439,0 2543 1439,http://suraomai.ac.th/,321,14,16,13.85341718,100.8853724
3110013308,โรงเรียนสามแยกท่าไข่,หมู่ 6 ถ.สังฆสันติสุข แขวงกระทุ่มราย เขตหนองจอก,1003,หนองจอก,โรงเรียนขนาดเล็ก  (จำนวนนักเรียนตั้งแต่ 1-400 คน),0 2543 1309,0 2543 1309,http://samyakthakhai.ac.th/,155,8,12,13.84791587,100.890887
3110013309,โรงเรียนหลวงแพ่ง (บำรุงรัฐกิจ),24/1หมู่ 12 แขวงกระทุ่มราย เขตหนองจอก,1003,หนองจอก,โรงเรียนขนาดเล็ก  (จำนวนนักเรียนตั้งแต่ 1-400 คน),0 2988 2295,0 2988 2295,facebook.com/loungpang.bumlunglattakit,241,8,13,13.81577584,100.9351849
